id,amazonBiomeArea_ha_25Sites,forestArea_1985_ha_25Sites,forestArea_2017_ha_25Sites,theta_25Sites,thetaSD_25Sites,thetaBootstrap_25Sites,thetaSDBootstrap_25Sites,gamma_25Sites,gammaSD_25Sites,gammaBootstrap_25Sites,gammaSDBootstrap_25Sites,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,b_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2006,pasture_area_2017,z_1985_25Sites,zbar_1985_25Sites,gamma2017_25Sites,gamma2010_25Sites,gamma2018_25Sites,a_25Sites,k_25Sites,zeta_25Sites,zeta_alt_25Sites,rho_25Sites,r_25Sites,theta2017_25Sites,theta2006_25Sites,thetaSurvey_25Sites,thetaGDP_25Sites,p_2017_25Sites,p_2017_alt_25Sites
11,22282205.25645397,15497562.67164675,11069899.831789628,1.7309312413473625,0.14272612436441473,1.7344086598622086,0.027739583859149698,468.5354353774391,5.666738417336228,468.670878930401,0.7488207718928498,7911410.245586968,18981310.077376597,5186640337.272193,400269672.7496123,0,0,3838564.635043788,3742615.8518196223,3581942.3720248993,19079505.04367165,462.027198572521,472.3761239452206,471.20298361457566,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.8318538517379148,1.6300086309568105,1.033073950233549,8.84343343026712,44.758760469833035,43.34917824284919
12,1809786.991361972,847354.0608004784,674502.1576725424,1.0397794537074938,0.5724580472729198,1.0382983114508209,0.09819424768333737,216.29945458769075,4.742622898354539,216.50277728085865,1.9313796922499245,311951.50005318614,986453.6577257286,145894448.82279152,9603204.382464746,0,0,262159.72709264234,279729.7010267656,166936.6455123037,1014290.7063127821,213.07182320441987,221.74462365591395,214.0819169027384,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.4445684208789846,0.634990486536003,3.977563550686451,8.90305723476642,44.758760469833035,43.34917824284919
13,24100007.702127814,23883571.362469107,23491872.312353924,1.475119096441502,0.14131307983409677,1.4610513062863246,0.047405996873875623,736.1126944029054,27.522952232996772,735.9754648268151,0.4126225346137462,491859.8040786723,23983732.116432596,17292665424.41586,794593726.9402385,0,0,199349.3373862821,270468.39677772403,118835.85488532635,24002407.21735443,753.4376145577878,704.3764774610081,750.5239911899203,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.3751956594204562,1.5750425334625477,0.9227855053853983,5.001797247450389,44.758760469833035,43.34917824284919
14,28754954.75,28283506.179932587,27830274.976345185,1.4820437343501878,0.28088449387380565,1.4855485301616647,0.18696312734286302,644.3771959628967,16.356531074697138,644.3089156341257,0.33162016375532577,548889.5382631884,28379164.514608372,17933194552.133682,823045469.0003588,0,0,291045.97274827387,386357.33691731177,110593.78418048265,28394099.964113068,654.5971356589641,625.5122003695548,653.0222518601712,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.2834284040018684,1.680659064698507,0.8479075086162647,6.831440460991388,44.758760469833035,43.34917824284919
15,28754954.75,27351156.142626688,26311777.893229403,2.150337598322654,0.6675533806879564,1.9940881075825343,0.16107020193518695,568.1320488202718,10.551588511638949,568.0408111536739,0.3331424273355494,1193672.49308202,27505450.386311423,14948564282.584356,703318610.9020156,0,0,432654.17032665655,836787.7907578343,201851.98517762858,27553008.127804317,574.0937864571275,555.9490452831537,574.3533147205343,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.6783060760341952,2.622369120611113,2.2130372261620854,7.6478963035101675,44.758760469833035,43.34917824284919
16,28754954.75,27989302.833426133,26664078.710324317,1.8885817612357023,0.5060720715666959,1.8173610934749411,0.12148968987556687,618.563424921767,21.858665566158383,618.3617069061406,0.3935965644124558,1416617.9765703264,28080696.686894644,16493423849.441782,781764914.7811037,0,0,711315.9672675511,1113437.5388831769,106627.51619285576,28095930.34961899,630.4648469531785,593.3366049741261,631.8888228379966,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.530734767661768,2.246428754809637,2.0760681702506107,7.087805971029021,44.758760469833035,43.34917824284919
17,28143780.312925834,26399250.38608664,21475260.257911734,1.922081001706422,0.44099710212182996,1.9246158478927688,0.17989252907712155,570.9376946136834,24.68789648232043,570.5952179870453,0.36580868397817756,6055143.679170087,27530403.93708182,12261035582.880983,707433074.995676,0,0,4053804.701319679,5475634.9996341895,1204124.0965406331,27603374.482627273,584.3478088761306,542.446888486319,586.0183864786009,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.6102489603124597,2.2339130431003844,4.181579136363183,3.6647253937874757,44.758760469833035,43.34917824284919
18,10140852.050391562,6731462.156447787,3082013.4214707282,2.1176800469297987,0.18762730275402806,2.104595514825976,0.023721284725813696,376.7589173969337,7.044346390908951,377.23980638280415,1.4242738510567634,6746442.01524306,9828455.436713789,1161176040.076131,166660574.00385404,0,0,5603966.602672961,6207682.244515253,3085512.122730756,9816974.279178543,370.8712490382149,384.5632389025206,374.8422642500656,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.9850075088166839,2.250352585042913,2.77593887076259,3.477676324084466,44.758760469833035,43.34917824284919
19,4383962.47035026,4354825.636255944,4293503.036203153,2.226926841956029,0.02230721713897087,2.231658661830028,0.11532453421259752,806.2945668277657,35.21752443085243,806.1800874586096,0.8873186946256018,84410.49024825825,4377913.526451412,3461828170.7491183,158871125.58203298,0,0,131638.16633516646,206587.17206191536,23874.511240484233,4378700.147496428,828.7537587243786,765.7057721241964,824.424169634722,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.2427004264643964,2.2111532574476622,2.9098140629165323,5.933791325302952,44.758760469833035,43.34917824284919
20,8471226.918214634,7894475.928607732,5898330.1056244625,2.382020708892931,0.3674911396892654,2.327691477665202,0.07414162806728998,649.9611528694179,25.012721431004156,649.0470761520997,0.8278794117392247,2448200.526316281,8346530.631940743,3833685435.456071,244161650.48539883,0,0,959954.3164144873,1431127.4708547427,491270.3552358858,8385746.283843618,664.6866711696499,621.0808295802743,664.1159578583294,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.1221652319926787,2.6418761857931834,1.200216832107086,5.040428999242545,44.758760469833035,43.34917824284919
21,22304363.301273398,19356365.438348465,13832792.738662675,2.983713359508112,0.12222273314694135,2.9731089538141164,0.04011370597455619,577.1063191156575,13.698210091171724,576.9373241272613,0.5603781246688506,7385903.415532125,21218696.154194802,7982992100.499412,551135750.9857504,0,0,5087092.18006288,6204081.494931814,1913452.6745433914,21269818.112891857,584.1664151716686,561.3183249929017,585.834217182402,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.8972888360847557,3.070137882931468,6.7509354775325185,6.603688347997466,44.758760469833035,43.34917824284919
22,21081987.300339483,19483904.279165924,12314467.32332126,2.6065534942153135,0.24393956686362572,2.6044075772553144,0.06556949663948486,455.99483830795066,6.686350437766076,455.93865412473315,0.5061715703500911,8456499.238591501,20770966.56191276,5615333535.94642,426285630.403974,0,0,4498337.529171351,4944711.708524136,1315401.3352085585,20799305.61437448,457.8606449437965,448.5737644948234,461.55010548523205,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.4340621722863345,2.7790448161442924,9.473453957819611,5.221803442888001,44.758760469833035,43.34917824284919
23,17035387.915542766,15335715.19140737,11281940.94497623,2.1205032807448827,0.0878022945262916,2.1217784993898485,0.06653612687831396,366.09394674524094,1.7862840925518657,366.09909376987713,0.35848187499361295,5225548.432015713,16507489.376991943,4130250287.493081,271992941.99639136,0,0,5232414.832846885,4766763.203213978,1018054.1666469157,16353769.358054286,367.0227661778949,364.0346132986224,367.2244607592055,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.0584176828816036,2.182588878608162,7.748838847712936,2.590417669054612,44.758760469833035,43.34917824284919
24,2159593.1252544476,1336463.895204487,716469.9033359126,2.701969861203878,0.1894085517453221,2.706654005430891,0.11879984969634909,337.2185229727266,14.313820864318117,337.85843380614654,2.0634663996594225,860690.5049079219,1577160.4082438345,241606922.55734864,23937089.758629195,0,0,1094989.0666812642,964141.1787930097,108627.14659768272,1445091.0418021698,328.1456953642384,353.71939736346513,329.79047619047617,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.8359019325577184,2.5680377898500377,5.855138437242271,3.9815321787562974,44.758760469833035,43.34917824284919
25,3917941.753463308,2104472.838565788,1146388.33236162,2.6628085457881685,0.3667510868028389,2.7357845214001375,0.19451473898158708,287.82630346978505,17.20154405734973,288.10525131106004,1.6647794313683917,2311937.3256845595,3458325.6580461795,329960716.0445364,44800248.918446995,0,0,3022648.4321357817,3536660.2006435283,1070880.7665780433,3175353.6051438316,278.6441176470588,307.67055066459517,277.16424209770116,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.9221407262739922,2.403476365302345,10.60245792014931,5.545803100055135,44.758760469833035,43.34917824284919
