id,amazonBiomeArea_ha_43Sites,forestArea_1985_ha_43Sites,forestArea_2017_ha_43Sites,theta_43Sites,thetaSD_43Sites,thetaBootstrap_43Sites,thetaSDBootstrap_43Sites,gamma_43Sites,gammaSD_43Sites,gammaBootstrap_43Sites,gammaSDBootstrap_43Sites,z_2017_43Sites,zbar_2017_43Sites,x_2017_43Sites,b_43Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2006,pasture_area_2017,z_1985_43Sites,zbar_1985_43Sites,gamma2010_43Sites,gamma2017_43Sites,gamma2018_43Sites,gamma2019_43Sites,gamma2020_43Sites,gamma2021_43Sites,gamma2022_43Sites,a_43Sites,k_43Sites,zeta_43Sites,zeta_alt_43Sites,rho_43Sites,r_43Sites,theta2017_43Sites,theta2006_43Sites,thetaProfit2017_43Sites,thetaProfit2006_43Sites,p_2017_43Sites,p_2017_alt_43Sites
11,16290099.5625,14924808.088608168,14703930.727431148,1.6856867522807981,0.1458923668623869,1.6652484525231799,0.08439631943085564,633.9127042004684,31.576070687127107,633.8773327773428,0.668403452134075,641899.4880127095,15345830.215443857,9321008489.80224,437828375.4194064,0,0,283884.0784748198,418942.3893758342,357087.1300081487,15281895.218616316,597.4864864864865,653.502852391916,650.7487737230026,421.84724730406066,417.0110016250935,417.22641907121596,425.1946171124112,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.5825252703490487,1.7888482342125474,3.056846925218344,5.976860213571232,44.758760469833035,43.34917824284919
12,13447583.110734154,8773563.663995523,9033327.939802038,1.4265051255160313,0.1787625807949918,1.4332192705345834,0.06649597918306797,563.426659584984,4.6546916811325945,563.4723755532469,0.6758102033174993,250060.1707892678,9283388.110591305,5089617786.058368,235411654.75197005,0,0,907705.375616947,869679.5009750497,252396.1906847338,9025959.854680257,558.756351723696,568.0655763087555,563.4580507225007,352.54153146274734,348.66296260969096,346.31206250498286,350.4810107172832,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.552909358618578,1.3001008924134845,3.6594923317459673,8.538885268032677,44.758760469833035,43.34917824284919
13,4887718.563341971,3256270.227654077,2248094.957638702,1.8543492090351692,0.2625537759522868,1.8713540594802103,0.04362128384185686,339.0809567348226,4.340268143597507,338.81327169976953,1.4643810054675273,1721312.1577844007,3969407.115423103,762286189.0668615,60577745.153680325,0,0,600827.3915526178,684581.6430836336,761597.6151464569,4017867.842800534,337.3504472967717,335.8728921228921,344.0195307848041,236.76788735798885,221.8723967738052,231.96861669713587,231.23632023503487,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.0400027644371646,1.6686956536331736,3.2086308703212514,8.140831694606614,44.758760469833035,43.34917824284919
14,155559.48424670516,80796.98036558085,72018.30017081312,1.592301767924328,0.5187898452067584,1.5001438067279147,0.20283039976328548,226.8974106427253,24.816421197092986,225.43796695402298,6.841143401949462,10958.065311004766,82976.36548181789,16340765.827648038,847360.0951390322,0,0,1120.1722520455437,370.6441035803597,3870.696752080199,84667.67711766105,198.63148148148147,236.95205479452054,245.1086956521739,143.72222222222223,115.17164179104476,133.83333333333331,144.36772486772486,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.9591415854807464,1.22546195036791,3.2042875389672605,8.105666229856533,44.758760469833035,43.34917824284919
15,3431766.5408694195,3403924.4099145113,3406228.7586262813,0.12239263194651884,0.06881848997019954,0.17512605447527269,0.2516057038895676,703.7436601077105,27.31958691783783,703.7336564660778,0.8457837050030783,2009.1043394730968,3408237.8629657542,2397111893.7598023,107951443.087833,0,0,204.99341999200013,38.53469509325156,3192.517027890185,3407116.9269424016,672.2142612917564,718.6237199904106,720.3929990409645,452.29616989002653,451.86082669700414,450.8570345089116,455.8430571359608,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.17105465287546534,0.07373061101757233,-1.949505065397858,-2.5346892666510246,44.758760469833035,43.34917824284919
16,14559181.882003438,14186518.33660517,14162083.274407689,0.6395180932426956,0.66183762963271,0.6555240245923716,0.1520026289612592,605.3355152920174,16.766178632208643,605.3074224883736,0.40549494345149206,54520.0607255271,14216603.335133215,8572811976.522038,387325474.0781142,0,0,6983.81621726469,6548.83358768532,48500.07691539314,14235018.413520563,586.3211117907937,617.9961422512902,611.6892918339684,408.5520441177726,412.69298492565196,408.6182351134094,417.83326503606946,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.1715282172849757,1.1075079692004155,-0.9857091444511482,-1.5913353794381373,44.758760469833035,43.34917824284919
17,16254848.8125,15543134.082775952,15533241.822862845,0.701480877140241,0.5304753897060072,0.8556074255110456,0.08778713844651805,552.5933381722853,8.18009684975438,552.6384445995734,0.3177256367044326,49367.59583538092,15582609.418698225,8583565951.533133,387551917.65391994,0,0,15540.940131020265,5646.1326491741975,64238.004646196976,15607372.08742215,543.2507103317462,558.4690038876086,556.0603002975012,387.45952691984695,389.09784299088676,389.6899005927101,390.7837821021357,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.3263781318265469,1.0765836224539351,0.060257993800478006,0.19482316936989644,44.758760469833035,43.34917824284919
18,16254848.8125,14949819.69304745,14655594.049403086,1.4472507926230056,0.6977685242373067,1.4127146394718222,0.13592567984002177,511.0894158669164,6.53416700794082,511.07564853172846,0.3782359047491723,352615.37500308617,15008209.424406173,7490319001.892079,345231033.6535674,0,0,113707.47692951105,134947.39202838633,179204.50427099539,15129024.197318446,503.5619367693503,515.298275977392,514.4080348540069,375.6829862518578,373.14943474920426,369.19122180276503,372.0314992227629,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.9538539374362761,1.940647647809735,1.3821721007738974,2.830797279849896,44.758760469833035,43.34917824284919
19,16254848.8125,14476017.124260472,14093275.491094649,1.5205191782534495,0.5146716031765617,1.475290175896039,0.08291672209309091,597.2249163596344,14.592081530993124,597.0910081084918,0.5267671487635183,687987.2643486774,14781262.755443327,8416855276.4022875,397313677.23978513,0,0,290763.8050489924,366421.7609876678,326489.59313716873,14802506.717397641,580.3756718440155,605.7274029020292,605.5716743328587,413.9090102451518,413.8999624830716,406.4261517615176,413.07777319965203,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.156591397563151,1.8844469589437483,2.044903879873421,3.632428189209043,44.758760469833035,43.34917824284919
20,16254848.8125,14774351.681198176,13552562.400281549,2.0993962804025452,0.40969525253970407,2.016940454866204,0.08259271805390073,652.2340368958919,21.176006800860996,652.0579539990258,0.5364019897985882,1556095.6496074467,15108658.049888995,8839442484.619112,443520206.6078745,0,0,809916.256394901,1331964.3532459564,400845.4225084587,15175197.103706636,627.813072325492,663.3788592360021,665.5101791261815,408.25660739340833,406.96300907243636,399.7002682398312,406.84083872513776,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.8096979891117855,2.389094571693305,2.2820958647069833,4.376877261612503,44.758760469833035,43.34917824284919
